flag,input,baseline_jam,delta_jam,baseline_code,delta_code,compile_ok
--no-register-alloc,polkadot-collectives-polkadot_runtime-v2002002,15293994,52565,12084722,46725,1
--no-register-alloc,polkadot-coretime-kusama_runtime-v2002002,13011883,47085,10128873,41854,1
--no-register-alloc,polkadot-coretime-polkadot_runtime-v2002002,13009179,47074,10126518,41843,1
--no-register-alloc,polkadot-encointer-kusama_runtime-v2002002,15729251,63907,12485285,56806,1
--no-register-alloc,polkadot-glutton-kusama_runtime-v2002002,6402647,26916,4600277,23925,1
--no-register-alloc,polkadot-kusama_runtime-v2002002,22066440,117180,17832758,104160,1
--no-register-alloc,polkadot-people-kusama_runtime-v2002002,13021874,41762,10141578,37122,1
--no-register-alloc,polkadot-people-polkadot_runtime-v2002002,14291805,41557,11226838,36939,1
--no-register-alloc,polkadot-polkadot_runtime-v2002002,20909440,114294,16847956,101595,1
--no-dead-function-elim,add,160,0,96,0,1
--no-dead-function-elim,fibonacci,221,0,144,0,1
--no-dead-function-elim,factorial,200,0,126,0,1
--no-dead-function-elim,is-prime,271,0,189,0,1
--no-dead-function-elim,regalloc-two-loops,561,0,438,0,1
--no-dead-function-elim,blake2b,3765,0,2486,0,1
--no-dead-function-elim,sha512,3511,0,2310,0,1
--no-dead-function-elim,u128-mul-bench,457,0,342,0,1
--no-dead-function-elim,u128-div-bench,765,0,606,0,1
--no-dead-function-elim,u128-div-bench-slow,771,0,607,0,1
--no-dead-function-elim,host-call-log,458,0,104,0,1
--no-dead-function-elim,memory-copy-word,2243,0,1935,0,1
--no-dead-function-elim,memory-copy-overlap,715,0,574,0,1
--no-dead-function-elim,aslan-fib,19831,0,12186,0,1
--no-dead-function-elim,aslan-ecalli,42350,0,27349,0,1
--no-dead-function-elim,aslan-debug,32365,0,23740,0,1
--no-dead-function-elim,anan-as-compiler,109283,0,76239,0,1
--no-dead-function-elim,polkadot-asset-hub-kusama_runtime-v2002002,30804229,0,25381070,0,1
--no-dead-function-elim,polkadot-asset-hub-polkadot_runtime-v2002002,29435038,0,24209513,0,1
--no-dead-function-elim,polkadot-bridge-hub-kusama_runtime-v2002002,13486226,0,10536668,0,1
--no-dead-function-elim,polkadot-bridge-hub-polkadot_runtime-v2002002,16129160,0,12830602,0,1
--no-dead-function-elim,polkadot-bulletin-polkadot_runtime-v2002002,12017852,0,9295201,0,1
--no-dead-function-elim,polkadot-collectives-polkadot_runtime-v2002002,15293994,0,12084722,0,1
--no-dead-function-elim,polkadot-coretime-kusama_runtime-v2002002,13011883,0,10128873,0,1
--no-dead-function-elim,polkadot-coretime-polkadot_runtime-v2002002,13009179,0,10126518,0,1
--no-dead-function-elim,polkadot-encointer-kusama_runtime-v2002002,15729251,0,12485285,0,1
--no-dead-function-elim,polkadot-glutton-kusama_runtime-v2002002,6402647,0,4600277,0,1
--no-dead-function-elim,polkadot-kusama_runtime-v2002002,22066440,0,17832758,0,1
--no-dead-function-elim,polkadot-people-kusama_runtime-v2002002,13021874,0,10141578,0,1
--no-dead-function-elim,polkadot-people-polkadot_runtime-v2002002,14291805,0,11226838,0,1
--no-dead-function-elim,polkadot-polkadot_runtime-v2002002,20909440,0,16847956,0,1
--no-fallthrough-jumps,add,160,0,96,0,1
--no-fallthrough-jumps,fibonacci,221,11,144,9,1
--no-fallthrough-jumps,factorial,200,18,126,15,1
--no-fallthrough-jumps,is-prime,271,16,189,14,1
--no-fallthrough-jumps,regalloc-two-loops,561,16,438,14,1
--no-fallthrough-jumps,blake2b,3765,60,2486,53,1
--no-fallthrough-jumps,sha512,3511,63,2310,56,1
--no-fallthrough-jumps,u128-mul-bench,457,24,342,21,1
--no-fallthrough-jumps,u128-div-bench,765,32,606,28,1
--no-fallthrough-jumps,u128-div-bench-slow,771,32,607,28,1
--no-fallthrough-jumps,host-call-log,458,0,104,0,1
--no-fallthrough-jumps,memory-copy-word,2243,10,1935,9,1
--no-fallthrough-jumps,memory-copy-overlap,715,10,574,9,1
--no-fallthrough-jumps,aslan-fib,19831,456,12186,406,1
--no-fallthrough-jumps,aslan-ecalli,42350,849,27349,755,1
--no-fallthrough-jumps,aslan-debug,32365,465,23740,413,1
--no-fallthrough-jumps,anan-as-compiler,109283,1072,76239,953,1
--no-fallthrough-jumps,polkadot-asset-hub-kusama_runtime-v2002002,30804229,579533,25381070,515140,1
--no-fallthrough-jumps,polkadot-asset-hub-polkadot_runtime-v2002002,29435038,545631,24209513,485006,1
--no-fallthrough-jumps,polkadot-bridge-hub-kusama_runtime-v2002002,13486226,224373,10536668,199443,1
--no-fallthrough-jumps,polkadot-bridge-hub-polkadot_runtime-v2002002,16129160,297429,12830602,264382,1
--no-fallthrough-jumps,polkadot-bulletin-polkadot_runtime-v2002002,12017852,198318,9295201,176283,1
--no-fallthrough-jumps,polkadot-collectives-polkadot_runtime-v2002002,15293994,259987,12084722,231100,1
--no-fallthrough-jumps,polkadot-coretime-kusama_runtime-v2002002,13011883,218106,10128873,193872,1
--no-fallthrough-jumps,polkadot-coretime-polkadot_runtime-v2002002,13009179,218105,10126518,193871,1
--no-fallthrough-jumps,polkadot-encointer-kusama_runtime-v2002002,15729251,259869,12485285,230995,1
--no-fallthrough-jumps,polkadot-glutton-kusama_runtime-v2002002,6402647,109479,4600277,97315,1
--no-fallthrough-jumps,polkadot-kusama_runtime-v2002002,22066440,405977,17832758,360868,1
--no-fallthrough-jumps,polkadot-people-kusama_runtime-v2002002,13021874,214650,10141578,190800,1
--no-fallthrough-jumps,polkadot-people-polkadot_runtime-v2002002,14291805,234503,11226838,208447,1
--no-fallthrough-jumps,polkadot-polkadot_runtime-v2002002,20909440,389056,16847956,345828,1
--no-aggressive-regalloc,add,160,31,96,27,1
--no-aggressive-regalloc,fibonacci,221,13,144,11,1
